QConst:fQ_Flr	1																																																																																																																																																																																																																																																																																							
LeakConst:fan_a	-6276																																																																																																																																																																																																																																																																																							
LeakConst:fan_b	6.6																																																																																																																																																																																																																																																																																							
LeakConst:fan_c	1.71E-05																																																																																																																																																																																																																																																																																							
LeakConst:fan_d	3.11																																																																																																																																																																																																																																																																																							
LeakConst:Fs_meas	5.7575 80.3174 388.663 646.553 909.488 1127.32 1321.95 1499.77																																																																																																																																																																																																																																																																																							
LeakConst:Fs_true	0.382723 99.7962 401.754 601.771 801.589 1002.96 1200.93 1402.13																																																																																																																																																																																																																																																																																							
LeakConst:leak_wt	0																																																																																																																																																																																																																																																																																							
[Data]																																																																																																																																																																																																																																																																																								
SysObs	SysObs	SysObs	SysObs	SysObs	SysObs	UserDefCon	UserDefCon	GasEx	GasEx	GasEx	GasEx	GasEx	GasEx	GasEx	GasEx	GasEx	GasEx	GasEx	GasEx	GasEx	GasEx	GasEx	GasEx	GasEx	GasEx	GasEx	GasEx	GasEx	GasEx	GasEx	GasEx	GasEx	GasEx	Dynamic	Dynamic	Dynamic	Dynamic	Dynamic	Dynamic	Dynamic	Dynamic	Dynamic	Dynamic	Leak	Leak	Leak	Leak	Leak	FLR	FLR	FLR	FLR	FLR	FLR	FLR	FLR	FLR	FLR	FLR	FLR	FLR	FLR	FLR	FLR	FLR	FLR	FLR	FLR	FLR	FLR	FLR	FLR	FLR	FLR	FLR	FLR	MPF	MPF	MPF	MPF	MPF	MPF	MPF	MPF	FastKntcs	FastKntcs	FastKntcs	FastKntcs	FastKntcs	FastKntcs	FastKntcs	FastKntcs	FastKntcs	FastKntcs	LeafQ	LeafQ	LeafQ	LeafQ	Const	Const	Const	Const	Const	Meas	Meas	Meas	Meas	Meas	Meas	Meas	Meas	Meas	Meas	Meas	Meas	Meas	Meas	Meas	Meas	Meas	Meas	Meas2	Meas2	Meas2	Meas2	Meas2	Meas2	Meas2	Meas2	Meas2	Meas2	FlrLS	FlrLS	FlrLS	FlrLS	FlrLS	FlrLS	FlrLS	FlrLS	FlrLS	FlrLS	FlrLS	FlrLS	FlrLS	FlrLS	FlrLS	FlrLS	FlrLS	FlrLS	FlrStats	FlrStats	FlrStats	FlrStats	FlrStats	MchEvent	MchEvent	MchEvent	MchEvent	MchEvent	MchEvent	MchEvent	MchEvent	MchEvent	MchEvent	MchEvent	MchEvent	MchEvent	Stability	Stability	Stability	Stability	Stability	Stability	Stability	Stability	Stability	Stability	Stability	Stability	Stability	Stability	Stability	Raw	Raw	Raw	Raw	Raw	Raw	Raw	Raw	Raw	Raw	Raw	Raw	Raw	Raw	Raw	Raw	Raw	Raw	Status2	Status2	Status2	Status2	Status2	Status2	Status2	Status2	Status2	Status2	Status2	Status2	Status2	Status2	Status2	Status2	Status2	Status2	Status2	Auxiliary	Auxiliary	Auxiliary	Auxiliary	Auxiliary	Auxiliary	Auxiliary	Auxiliary	Auxiliary	Auxiliary	Auxiliary	Auxiliary	Auxiliary	Auxiliary	Auxiliary	Auxiliary	Auxiliary	Auxiliary	Auxiliary	MchStatus	MchStatus	MchStatus	MchStatus	MchStatus	MchStatus	MchStatus	MchStatus	MchStatus	MchStatus	MchStatus	MchStatus	MchStatus	MchStatus	MchStatus	MchStatus	MchStatus	MchStatus	ConStatus	ConStatus	ConStatus	ConStatus	ConStatus	ConStatus	ConStatus	ConStatus	Status	Status	Status	Status	Status	Status	Status	Status	Status	Status	Status	Status	Status	Status	Status	Status
obs	time	elapsed	date	hhmmss	averaging	id	machine	TIME	E	Emm	A	Ca	Ci	Pci	Pca	gsw	gbw	gtw	gtc	Rabs	TleafEB	TleafCnd	SVPleaf	RHcham	VPcham	SVPcham	VPDleaf	LatHFlux	SenHFlux	NetTherm	EBSum	Asty	Esty	Adyn	Crd	Csd	dCsd/dt	_Vc	Edyn	Hr	Hs	dHs/dt	_Vh	Leak	LeakPct	CorrFact	CorrFactPct	Fan	DarkAdaptedID	Qmax_d	Fo	Fm	Fv/Fm	A_dark	LightAdaptedID	Qmax	Fs	Fm'	PhiPS2	PS2/1	Qabs_fs	A_fs	ETR	PhiCO2	NPQ	alt. Fo'	DarkPulseID	Fmin	Fo'	Fv'/Fm'	qP	qN	qP_Fo	qN_Fo	qL	1-qL	ID	P1_dur	P2_dur	P3_dur	P1_Qmax	P1_Fmax	P2_dQdt	P3__F	ID	Duration	Fo	F1	F2	Fmax	T@HIR	T@F1	T@F2	T@Fmax	Qin	Qabs	alpha	convert	S	K	Geometry	Custom	UseDynamic	TIME	CO2_s	CO2_r	H2O_s	H2O_r	CO2_a	H2O_a	Flow	Pa	_Pcham	Tair	Tleaf	Tleaf2	Offset	Offset2	Fan_speed	Qamb_in	Qamb_out	_CO2	CO2_s_d	CO2_r_d	_H2O	CO2_b	H2O_b	e_s	e_r	Td_s	Td_r	Q	f_red	f_blue	f_farred	F	Q_modavg	F_dc	Pc	Tled	TDigital	TPreamp	TPwrSpy	TDrive	Q_red	Q_blue	Q_farred	TSPF	state	F_avg	dF/dt	dF_dc/dt	F_dc_avg	period	time	hhmmss	co2_t	h2o_t	count	co2_adj	h2o_adj	co2_match	h2o_match	co2_at	h2o_at	co2_cv	h2o_cv	_CO2:MN	_CO2:SLP	_CO2:SD	_CO2:OK	F:MN	F:SLP	F:SD	F:OK	_H2O:MN	_H2O:SLP	_H2O:SD	_H2O:OK	Stable	Total	State	Vflow	VPchamber	abs_c_a	abs_c_b	abs_h_a	abs_h_b	Wc_s	Wc_r	Wco_s	Wco_r	Ww_s	Ww_r	Wwo_s	Wwo_r	Flow_s_v	Flow_r_v	Tleaf_mv	Tleaf2_mv	Tleaf_j	Tleaf2_j	Console_RH	Console_T	Console_H2O	Fan_%	Flow_%	Pump	Tchp_pwm	Txchg_pwm	diag_20v	diag_5_4v	diag_12v	diag_5va	diag_3_3vf	AccCO2_soda	AccH2O_des	AccH2O_hum	CO2_hrs	ADC_CH1	ADC_CH2	ADC_CH3	ADC_CH4	ADC_CH5	ADC_CH6	ADC_CH7	ADC_CH8	DAC_1	DAC_2	DAC_3	DAC_4	GPIO	GPIO_dir	excit_5v	power_12v	power_5v	ch1_pullup	AuxPower	MatchValveR	MatchValveS	MatchCO2	MatchH2O	cf_co2_a	cf_co2_b	cf_co2_c	cf_co2_d	cf_h2o_a	cf_h2o_b	cf_h2o_c	cf_h2o_d	co2_fit_low	co2_fit_high	h2o_fit_low	h2o_fit_high	co2_elapsed	h2o_elapsed	CO2_f	CO2_f_s	Pump_f	Pump_f_s	Pump_p	Pump_p_s	Tboard	V_system	DIAG	Flow_s	Flow_r	Txchg	Tirga	Tchopper	Ts	Tr	CO2_%	Desiccant_%	Humidifier_%	Txchg_sp	CO2_r_sp	H2O_r_sp	SS_s	SS_r
	s	s			s			s	mol m__ s__	mmol m__ s__	µmol m__ s__	µmol mol__	µmol mol__	Pa	Pa	mol m__ s__	mol m__ s__	mol m__ s__	mol m__ s__	W m__	¡C	¡C	kPa	%	kPa	kPa	kPa	W m__	W m__	W m__	W m__	µmol m__ s__	mmol m__ s__	µmol m__ s__	µmol mol__	µmol mol__	µmol mol__ s__	cm_	mmol m__ s__	mmol mol__	mmol mol__	mmol mol__ s__	cm_	µmol s__	%		%	µmol s__						µmol m__ s__							µmol m__ s__	µmol m__ s__	µmol m__ s__	µmol µmol__														ms	ms	ms	µmol m__ s__		mol m__ s__			ms					s	s	s	s	µmol m__ s__	µmol m__ s__		J/µmol	cm_			mol m__ s__		s	µmol mol__	µmol mol__	mmol mol__	mmol mol__	µmol mol__	mmol mol__	µmol s__	kPa	kPa	¡C	¡C	¡C	¡C	¡C	rpm	µmol m__ s__	µmol m__ s__	µmol mol__	µmol mol__	µmol mol__	mmol mol__	µmol mol__	mmol mol__	kPa	kPa	¡C	¡C	µmol m__ s__					µmol m__ s__			¡C	¡C	¡C	¡C	¡C	µmol m__ s__	µmol m__ s__	µmol m__ s__	s			min__	min__		s	secs		s	s		µmol/mol	mmol/mol	µmol/mol	mmol/mol	µmol/mol	mmol/mol	%	%	µmol mol__	µmol mol__ min__	µmol mol__			 min__			mmol mol__	mmol mol__ min__	mmol mol__					V	V													V	V	mV	mV	¡C	¡C	%	¡C	mmol mol__	%	%		V	V	V	V	V	V	V	mg	mg	mg	hrs	V	V	V	V	V	V	V	V	V	V	V	V							V	%	%	µmol/mol	mmol/mol	mmol/mol				mmol/mol				µmol mol__	µmol mol__	mmol mol__	mmol mol__	min	min	V	V	V	V	V	V	¡C	V		µmol s__	µmol s__	¡C	¡C	¡C	¡C	¡C	%	%	%	¡C	µmol mol__	mmol mol__	%	%
1	1686587955	0	20230612 12:39:15	12:39:15	5	2671	stan	1686587947	0.001024775	1.024775314	4.055470965	413.7479953	304.5731096	29.63611568	40.25924504	0.066546089	1.192344601	0.0645495	0.017751113	283.9059078	25.79640632	25.02978065	3.185327473	51.84722011	1.679165415	3.238679743	1.506162058	-164.3366958	65.20914804	3.18668661	187.9650467	14.11904624	3.547126542	14.74716715	426.0986675	420.9910727	0.032274151	64.29139928	3.726455687	16.14092403	17.29615474	0.006651699	101.62	13	3	1	0	51598	-	-	0	0	0	0	-	-	0	0	0	0.5	0	0	0	0	0	0	-	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1600.070645	1358.844126	0.849240082	0.177433358	6	0.5	0: Broadleaf	2	TRUE	1686587947	413.748	418.8903871	17.25693871	16.10685806	417.9960645	17.37391613	500.1178065	97.20377742	0.100005306	25.30874839	25.02978065	999.9	0	0	9999.270968	0	4.569763871	-5.142301613	421.0134194	425.7478065	1.150080323	418.8903871	16.10685806	1.677439677	1.565647419	14.68920968	13.62474516	1600.070645	0.691997258	0.308002742	0	2.430370968	0	28011.3	12139.84194	39.72548387	39.14290323	39.88077419	38.81022581	38.80619355	1107.244516	492.826129	0	1686587957	0	2.41876	0.343199974	-360.8384615	28004.736	15	0	--:--:--	1686165210	1686165211	0	0.365	-0.054	-1.399	-0.211	420	19	0.25	0.05	-5.11577878	-1.776093031	0.352634743	0	2.414194118	-0.074194051	0.263153945	1	1.17188561	-0.38403324	0.039898221	0	1	3	3-Jan	2.99043	2.71542	0.102356	0.101622	0.0928586	0.0867585	28863.7	28957	29847.3	29783.4	35857.9	36131.8	42038.4	42406.5	2.01175	2.08818	0.143539	0	22.6473	999.9	60.4	24.4	19.0615	63.7138	32.4519	1	-0.518643	-0.567258	20.3983	5.22298	12.0098	4.99255	3.2892	9999	9999	9999	999.9	1.86689	1.866	1.86542	1.8654	1.86722	1.86981	1.86843	1.86996	0	0	0	0	0	iiiiiiii	off	off	off	off	0	100	100	-4.248	-0.1168	-2.482328916	-0.004573198	9.17E-07	-1.96E-10	-0.181632551	-0.008724442	0.001369256	-3.76E-05	2	2338	1	20	7045.8	7045.7	0.97168	2.18872	1.39648	2.31567	1.49536	2.57446	28.6058	15.8569	18	498.978	504.648	23.0967	20.7176	30.0001	20.6577	20.5889	19.4622	25.799	81.3023	23.1006	412.948	16.2188	102.063	101.881
2	1686587960	5	20230612 12:39:20	12:39:20	5	2671	stan	1686587952	0.00101737	1.017370109	4.163996624	413.6751676	301.4966462	29.33645808	40.25173867	0.066284103	1.192326372	0.064302923	0.017683304	283.9025321	25.78434335	25.01463103	3.182452245	51.97003828	1.681451547	3.235424877	1.501000698	-163.1491702	64.79816908	3.16614041	188.7176714	14.53316616	3.506473747	15.1418059	426.2009533	421.0668848	0.011168501	64.29139928	3.699527669	16.15586589	17.30992797	0.005705888	101.62	13	3	1	0	51804	-	-	0	0	0	0	-	-	0	0	0	0.5	0	0	0	0	0	0	-	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1600.048966	1358.825959	0.849240234	0.177433653	6	0.5	0: Broadleaf	2	TRUE	1686587952	413.6751724	418.9487931	17.28061379	16.14368966	417.9229655	17.39748276	500.095069	97.20285862	0.099908931	25.29184483	25.01463103	999.9	0	0	9999.157931	0	4.416119655	-5.273575517	420.9494483	425.8231034	1.13692931	418.9487931	16.14368966	1.679725517	1.569212414	14.71031724	13.65974483	1600.048966	0.691992138	0.308007862	0	2.421493103	0	27980.44138	12139.65172	39.56224138	39.02993103	39.74327586	38.62475862	38.67644828	1107.221379	492.8275862	0	1686587962	0	2.429632	0.372615373	-354.1461533	27975.8	15	0	--:--:--	1686165210	1686165211	0	0.365	-0.054	-1.399	-0.211	420	19	0.25	0.05	-5.162595366	-2.868230383	0.393482026	0	2.408441176	-0.076488928	0.313142541	1	1.15213878	-0.194869756	0.027094001	0	1	3	3-Jan	2.99012	2.71564	0.102354	0.101107	0.0929141	0.0867707	28863.6	28973.7	29847.2	29783.5	35855.5	36131.5	42038.2	42406.7	2.01152	2.08837	0.142403	0	22.6465	999.9	60.4	24.4	19.0629	63.5138	32.9127	1	-0.518595	-0.631825	20.3973	5.21804	12.0099	4.99105	3.28828	9999	9999	9999	999.9	1.86691	1.866	1.8654	1.86539	1.86722	1.86981	1.86844	1.86996	0	0	0	0	0	iiiiiiii	off	off	off	off	0	100	100	-4.248	-0.1168	-2.482328916	-0.004573198	9.17E-07	-1.96E-10	-0.181632551	-0.008724442	0.001369256	-3.76E-05	2	2338	1	20	7045.8	7045.8	0.948486	2.19116	1.39648	2.31689	1.49536	2.57568	28.6058	15.8657	18	498.84	504.778	23.0789	20.7176	30.0001	20.6577	20.5888	18.9464	25.5107	81.3023	23.088	399.583	16.1595	102.062	101.882
3	1686587965	10	20230612 12:39:25	12:39:25	5	2671	stan	1686587957	0.000992739	0.99273927	3.8636955	413.3175312	306.4929121	29.82245395	40.21673115	0.064852879	1.192896602	0.062955891	0.01731287	283.9058166	25.77981625	24.99906429	3.179500211	52.09665996	1.683501515	3.231496062	1.495998697	-159.1992793	63.69338359	3.110107952	191.5100288	7.126486191	3.523311077	14.04980182	419.0307879	417.9947515	-0.729791059	64.29139928	3.609960983	16.15897631	17.32255955	0.000861008	101.62	13	3	1	0	51853	-	-	0	0	0	0	-	-	0	0	0	0.5	0	0	0	0	0	0	-	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1600.068929	1358.842779	0.849240151	0.177433492	6	0.5	0: Broadleaf	2	TRUE	1686587957	413.3175357	416.1493214	17.30177143	16.15940357	417.5638214	17.41854286	500.0911071	97.202375	0.099888046	25.27142143	24.99906429	999.9	0	0	10005.70107	0	4.345143571	-2.831725	420.5945714	422.9843214	1.142373571	416.1493214	16.15940357	1.681774286	1.570731429	14.72921429	13.67462857	1600.068929	0.691994679	0.308005321	0	2.391175	0	27952.22857	12139.82143	39.40603571	38.91939286	39.61582143	38.44392857	38.54214286	1107.239643	492.8292857	0	1686587966	0	2.413684	-0.417923092	-325.438462	27949.312	15	0	--:--:--	1686165210	1686165211	0	0.365	-0.054	-1.399	-0.211	420	19	0.25	0.05	-3.531944634	25.40217347	3.421888466	0	2.407420588	-0.093798324	0.328202525	1	1.140391951	0.059012822	0.008967152	1	2	3	3-Feb	2.99076	2.71567	0.10168	0.0985771	0.0929644	0.0868915	28885.5	29055	29847.4	29783.3	35853.4	36126.6	42038.2	42406.7	2.01218	2.0883	0.141766	0	22.6434	999.9	60.4	24.4	19.0634	63.1638	32.5401	1	-0.518105	-1.91093	20.3873	5.22058	12.0099	4.99165	3.28865	9999	9999	9999	999.9	1.86686	1.86599	1.86539	1.86539	1.86722	1.86981	1.86843	1.86996	0	0	0	0	0	iiiiiiii	off	off	off	off	0	100	100	-4.234	-0.1166	-2.482328916	-0.004573198	9.17E-07	-1.96E-10	-0.181632551	-0.008724442	0.001369256	-3.76E-05	2	2338	1	20	7045.9	7045.9	0.919189	2.19727	1.39771	2.31567	1.49536	2.47192	28.6058	15.8482	18	499.221	504.711	23.1923	20.7159	30.0002	20.656	20.587	18.4005	25.5107	81.3023	23.3949	379.548	16.1355	102.062	101.881
4	1686587970	15	20230612 12:39:30	12:39:30	5	2671	stan	1686587963	0.000991914	0.991913938	3.86878495	410.6902548	304.0681463	29.58655794	39.96114413	0.065014831	1.193263926	0.063109075	0.017354996	283.9028862	25.7616849	24.98304815	3.176465455	52.21063975	1.68532716	3.227938153	1.491138294	-159.066926	63.12866206	3.081048707	191.045671	-9.547344791	3.517926377	14.06830891	403.9656045	408.9122424	-1.918762524	64.29139928	3.606959774	16.18465446	17.35175293	0.000291383	101.62	13	3	1	0	51749	-	-	0	0	0	0	-	-	0	0	0	0.5	0	0	0	0	0	0	-	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1600.052593	1358.828889	0.849240141	0.177433472	6	0.5	0: Broadleaf	2	TRUE	1686587963	410.6902593	408.0169259	17.32051111	16.17992222	414.9262593	17.43719259	500.0960741	97.20249259	0.09989933	25.25290741	24.98304815	999.9	0	0	10009.87259	0	4.334537037	2.673327407	417.928963	414.7268889	1.140599259	408.0169259	16.17992222	1.683597407	1.572727778	14.74601481	13.69414815	1600.052593	0.69199463	0.30800537	0	2.344503704	0	27927.09259	12139.70741	39.24748148	38.80522222	39.48125926	38.26825926	38.41177778	1107.228889	492.8237037	0	1686587971	0	2.371772	-0.032699987	-240.4307695	27926.68	15	0	--:--:--	1686165210	1686165211	0	0.365	-0.054	-1.399	-0.211	420	19	0.25	0.05	-0.644902439	56.14151689	6.122731574	0	2.412935294	-0.27699924	0.304778581	1	1.138393902	0.010728711	0.010026351	1	2	3	3-Feb	2.99036	2.71556	0.0999229	0.0956749	0.0930827	0.0870178	28941.5	29148.5	29846.9	29783.3	35848.3	36121.3	42037.8	42406.6	2.01197	2.08798	0.141501	0	22.6403	999.9	60.4	24.4	19.062	63.0538	33.1611	1	-0.518044	-1.32737	20.3935	5.22014	12.0099	4.99165	3.28865	9999	9999	9999	999.9	1.86688	1.86599	1.8654	1.86539	1.86722	1.86981	1.86844	1.86995	0	0	0	0	0	iiiiiiii	off	off	off	off	0	100	100	-4.197	-0.1165	-2.482328916	-0.004573198	9.17E-07	-1.96E-10	-0.181632551	-0.008724442	0.001369256	-3.76E-05	2	2338	1	20	7046	7046	0.887451	2.19604	1.39771	2.31445	1.49536	2.5061	28.6058	15.8569	18	499.098	504.498	23.4147	20.7159	30.0002	20.656	20.587	17.7257	25.8043	81.3023	23.4101	366.191	16.0864	102.061	101.881
5	1686587975	20	20230612 12:39:35	12:39:35	5	2671	stan	1686587967	0.001029654	1.02965401	3.76462163	404.6499242	304.4642738	29.62537293	39.37376547	0.067730009	1.193012675	0.065664053	0.018057615	283.901574	25.72801624	24.97523571	3.174986064	52.30102167	1.687330991	3.226191262	1.487655073	-165.1190612	62.81500398	3.066125122	184.6636419	-28.40752309	3.522140913	13.6895332	388.0885223	396.4096424	-2.563469706	64.29139928	3.744196399	16.22201804	17.38041173	0.006963775	101.62	13	3	1	0	51751	-	-	0	0	0	0	-	-	0	0	0	0.5	0	0	0	0	0	0	-	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1600.045714	1358.823	0.849240111	0.177433414	6	0.5	0: Broadleaf	2	TRUE	1686587967	404.6499286	395.7477857	17.34094643	16.19905357	408.8621786	17.45753214	500.1130357	97.203275	0.100006454	25.24381071	24.97523571	999.9	0	0	10006.93036	0	4.349459286	8.902188214	411.7906071	402.26375	1.141902143	395.7477857	16.19905357	1.685596786	1.574600357	14.76441786	13.71244643	1600.045714	0.691995821	0.308004179	0	2.361307143	0	27909.98929	12139.66071	39.10692857	38.70053571	39.35910714	38.11578571	38.29214286	1107.225714	492.82	0	1686587977	0	2.361296154	0.041630774	-178.0170939	27908.69231	15	0	--:--:--	1686165210	1686165211	0	0.365	-0.054	-1.399	-0.211	420	19	0.25	0.05	5.239133659	79.7903049	7.983767903	0	2.364311765	-0.263819704	0.247242838	1	1.142286585	-0.01097331	0.011020664	1	2	3	3-Feb	2.99047	2.71567	0.0975381	0.0926766	0.0931756	0.086942	29018.9	29245	29847.8	29783.3	35845.4	36124.3	42038.9	42406.6	2.0121	2.08775	0.142559	0	22.6371	999.9	60.5	24.4	19.0938	62.9738	33.129	1	-0.518	-1.16269	20.3948	5.21999	12.0099	4.99175	3.28865	9999	9999	9999	999.9	1.86689	1.866	1.86541	1.8654	1.86722	1.86981	1.86844	1.86996	0	0	0	0	0	iiiiiiii	off	off	off	off	0	100	100	-4.147	-0.1164	-2.482328916	-0.004573198	9.17E-07	-1.96E-10	-0.181632551	-0.008724442	0.001369256	-3.76E-05	2	2338	1	20	7046.1	7046.1	0.855713	2.19604	1.39648	2.31689	1.49536	2.54517	28.6058	15.8569	18	499.175	504.348	23.4515	20.7159	30.0002	20.656	20.5867	17.0882	26.4214	81.3023	23.4311	346.152	16.0428	102.064	101.881
