"id","spp","plot","subplot","composite","gm.trt","canopy","FmPrime","FoPrime","Fs","FvP_over_FmP","NPQt","Phi2","PhiNO","PhiNPQ","SPAD"
"5077","Mai",7,20,"C5","weeded","pre_closure",2304.23,658,1235.67,0.714,0.951,0.464,0.275,0.261,22.037
"5115","Tri",5,19,"C5","weeded","post_closure",4225.33,1199,2494.67,0.716,0.933,0.41,0.305,0.285,46.212
"5115","Tri",5,19,"C5","weeded","pre_closure",1817.59,725,1645.33,0.601,2.238,0.095,0.28,0.626,28.808
"5119","Ari",7,12,"C4","invaded","post_closure",2697.43,1019,1743.67,0.622,1.963,0.354,0.218,0.428,28.128
"5124","Ari",7,12,"C4","invaded","post_closure",4134.66,1346,2506,0.674,1.355,0.394,0.257,0.349,38.966
"5141","Ari",7,12,"C4","invaded","post_closure",4458.25,1421,2806,0.681,1.283,0.371,0.276,0.354,42.42
"5151","Ari",7,31,"C9","weeded","post_closure",4195.75,1053,2374,0.749,0.635,0.434,0.346,0.22,38.07
"5153","Ari",7,31,"C9","weeded","post_closure",3872.46,1007,1981.33,0.74,0.715,0.488,0.298,0.213,43.941
"5176","Ari",7,7,"C1","weeded","post_closure",5051.28,1610,3341.33,0.681,1.283,0.339,0.29,0.372,45.689
"5180","Ari",7,7,"C1","weeded","post_closure",4808.71,1514,3167,0.685,1.242,0.341,0.294,0.365,43.204
"5184","Mai",3,13,"C5","weeded","post_closure",4176.16,2223,3267,0.468,4.554,0.218,0.141,0.641,37.003
"5228","Tri",5,19,"C5","weeded","post_closure",3985.02,1014,2270.33,0.746,0.666,0.43,0.342,0.228,40.204
"5228","Tri",5,19,"C5","weeded","pre_closure",2692.11,800,2628.33,0.703,1.063,0.024,0.473,0.503,31.791
"5229","Tri",6,1,"C1","weeded","pre_closure",3166.92,944,1880.33,0.702,1.072,0.406,0.287,0.307,39.75
"5253","Ari",7,8,"C1","weeded","post_closure",3206.53,1318,2033.33,0.589,2.406,0.366,0.186,0.448,36.5
"5260","Ari",7,10,"C3","invaded","post_closure",3543.92,1052,2014,0.703,1.06,0.432,0.276,0.292,35.647
"5267","Tri",6,2,"C1","weeded","pre_closure",3294.3,916,1850,0.722,0.88,0.438,0.299,0.263,37.39
"5285","Ari",7,8,"C1","weeded","post_closure",4120.96,1472,2733.33,0.643,1.712,0.337,0.245,0.419,34.549
"5381","Tri",5,10,"C3","invaded","post_closure",4261.47,1109,2366.33,0.74,0.717,0.445,0.323,0.232,49.76
"5381","Tri",5,10,"C3","invaded","post_closure",3495.25,1280,2224.33,0.634,1.82,0.364,0.226,0.411,38.713
"5381","Tri",5,10,"C3","invaded","pre_closure",3272.96,842,1685.33,0.743,0.69,0.485,0.305,0.21,41.55
"5395","Ari",7,8,"C1","weeded","post_closure",4936.26,2087,3628.67,0.577,2.574,0.265,0.206,0.529,39.043
"5404","Ari",7,7,"C1","weeded","post_closure",4657.76,1670,3062.67,0.641,1.728,0.342,0.241,0.416,45.23
"5479","Tri",3,21,"C6","weeded","post_closure",3816.45,1334,2333,0.65,1.622,0.389,0.233,0.378,46.767
"5479","Tri",3,21,"C6","weeded","pre_closure",3083.27,860,1761,0.721,0.888,0.429,0.303,0.269,44.936
"5488","Tri",3,1,"C1","weeded","post_closure",3825.02,1086,2252,0.716,0.935,0.411,0.304,0.284,43.679
"5488","Tri",3,1,"C1","weeded","pre_closure",2551.96,874,2387.33,0.658,1.542,0.065,0.368,0.567,35.715
"5490","Ari",7,12,"C4","invaded","post_closure",4339.2,1261,2683.67,0.709,0.999,0.382,0.309,0.309,38.817
"5494","Ari",7,35,"C12","invaded","post_closure",3651,1233,2043.33,0.662,1.488,0.44,0.225,0.335,41.747
"5495","Tri",3,3,"C2","weeded","pre_closure",3214.53,910,2954.33,0.717,0.927,0.081,0.477,0.442,33.625
"5657","Mai",5,23,"C8","invaded","post_closure",3527.87,769,1780.33,0.782,0.36,0.495,0.371,0.134,41.922
"5657","Mai",5,23,"C8","invaded","pre_closure",1108.85,630,1013.67,0.432,5.42,0.086,0.142,0.772,24.015
"5666","Mai",7,25,"C9","weeded","post_closure",4018.8,894,2241,0.778,0.396,0.442,0.399,0.158,44.891
"5865","Tri",6,2,"C1","weeded","pre_closure",3144.13,896,1701.67,0.715,0.945,0.459,0.278,0.263,38.962
"5877","Tri",5,27,"C10","weeded","post_closure",3619.21,1036,1773,0.714,0.957,0.51,0.25,0.24,40.845
"5877","Tri",5,27,"C10","weeded","pre_closure",3436.76,886,2958.33,0.742,0.695,0.139,0.508,0.353,34.217
"5904","Tri",5,9,"C2","weeded","pre_closure",2757.71,822,2288.67,0.702,1.072,0.17,0.4,0.429,36.285
"5904","Tri",5,9,"C2","weeded","pre_closure",2837.61,765,1339,0.73,0.801,0.528,0.262,0.21,38.157
"6000","Mai",7,32,"C9","weeded","post_closure",3855.56,940,2123.33,0.756,0.573,0.449,0.35,0.201,38.543
"6000","Mai",7,32,"C9","weeded","pre_closure",832.44,536,736,0.356,7.824,0.116,0.1,0.784,27.284
"6026","Mai",7,32,"C9","weeded","post_closure",3641.45,802,1989.33,0.78,0.378,0.454,0.396,0.15,36.541
"6027","Mai",7,32,"C9","weeded","post_closure",3584.68,777,1850.33,0.783,0.35,0.484,0.382,0.134,41.339
"6027","Mai",7,32,"C9","weeded","pre_closure",802.1,565,756,0.296,10.629,0.057,0.081,0.861,21.49
"6100","Mai",7,34,"C11","invaded","post_closure",4135.45,1600,2811.33,0.613,2.08,0.32,0.221,0.459,41.113
"6100","Mai",7,34,"C11","invaded","pre_closure",693.33,542,668.67,0.218,16.478,0.036,0.055,0.909,29.097
"6448","Mai",6,36,"C12","invaded","pre_closure",1484.97,712,1481.67,0.521,3.495,0.002,0.222,0.776,20.321
"6462","Mai",6,36,"C12","invaded","pre_closure",1351.23,663,1354,0.509,3.701,-0.002,0.213,0.789,23.184
"6507","Tri",7,12,"C4","invaded","post_closure",3759.76,978,2175,0.74,0.716,0.422,0.337,0.241,45.145
"6507","Tri",7,12,"C4","invaded","pre_closure",2459.95,752,1408.67,0.694,1.149,0.427,0.267,0.306,39.863
"6558","Tri",3,22,"C7","invaded","post_closure",3864.85,1060,2194.33,0.726,0.844,0.432,0.308,0.26,45.953
"6558","Tri",3,22,"C7","invaded","pre_closure",1661.07,688,1017.67,0.586,2.45,0.387,0.178,0.435,31.863
"6685","Mai",7,35,"C12","invaded","pre_closure",593.76,517,575,0.129,31.866,0.032,0.029,0.939,26.123
"6808","Mai",7,25,"C9","weeded","post_closure",4070.98,970,2400,0.762,0.526,0.41,0.386,0.203,40.096
"6808","Mai",7,25,"C9","weeded","pre_closure",906.89,578,756.33,0.363,7.576,0.166,0.097,0.737,26.046
"6867","Ari",5,9,"C2","weeded","post_closure",4235.36,1116,2553,0.737,0.746,0.397,0.345,0.258,45.581
"6869","Mai",3,21,"C6","weeded","post_closure",3411.8,1192,1867,0.651,1.62,0.453,0.209,0.338,34.926
"6875","Tri",5,29,"C12","invaded","post_closure",4067.65,1130,2518,0.722,0.877,0.381,0.33,0.289,37.35
"6876","Mai",3,18,"C8","invaded","post_closure",3434.42,1042,2073.33,0.697,1.125,0.396,0.284,0.32,29.815
"6882","Mai",7,30,"C12","invaded","post_closure",3853.35,1220,2320.33,0.683,1.261,0.398,0.266,0.336,43.104
"6886","Mai",7,25,"C9","weeded","post_closure",4355.34,1091,1210.67,0.75,0.631,0.722,0.17,0.108,37.754
"6887","Tri",5,2,"C1","weeded","post_closure",3361.13,856,1747,0.745,0.667,0.48,0.312,0.208,38.779
"6889","Ari",7,7,"C1","weeded","post_closure",106.11,58,94,0.453,4.883,0.114,0.151,0.735,8.334
"6890","Ari",7,7,"C1","weeded","post_closure",4272.4,1182,2484.33,0.723,0.866,0.419,0.312,0.27,42.369
"6900","Mai",5,12,"C4","invaded","post_closure",3290.5,884,1688.67,0.731,0.793,0.487,0.286,0.227,37.436
"7147","Tri",5,9,"C2","weeded","post_closure",3802.7,1757,2886.67,0.538,3.191,0.241,0.181,0.578,45.309
"7147","Tri",5,9,"C2","weeded","pre_closure",2872.73,811,1524,0.718,0.92,0.469,0.276,0.254,37.87
"7574","Tri",7,12,"C4","invaded","pre_closure",3258.11,792,1841,0.757,0.567,0.435,0.361,0.205,41.148
"7704","Ari",7,10,"C3","invaded","post_closure",4266.29,1063,2437.33,0.751,0.619,0.429,0.353,0.219,50.609
"7760","Ari",7,10,"C3","invaded","post_closure",4224.54,1068,2514,0.747,0.651,0.405,0.36,0.235,41.708
"7820","Ari",7,8,"C1","weeded","post_closure",4452.33,1652,3120,0.629,1.879,0.299,0.243,0.457,30.938
"7874","Ari",7,8,"C1","weeded","post_closure",4935.12,1748,3446.67,0.646,1.676,0.302,0.261,0.437,36.022
"8056","Ari",7,31,"C9","weeded","post_closure",3799.81,1137,2288.67,0.701,1.084,0.398,0.289,0.313,32.781
"8099","Ari",7,31,"C9","weeded","post_closure",3751.03,1027,2164.33,0.726,0.84,0.423,0.314,0.263,32.134
"8164","Ari",7,31,"C9","weeded","post_closure",4043.75,1160,2379.33,0.713,0.963,0.412,0.3,0.289,35.797
"9412","Mai",3,3,"C2","weeded","post_closure",3914.6,1322,2438.33,0.662,1.488,0.377,0.25,0.373,36.443
"9412","Mai",3,3,"C2","weeded","pre_closure",1006.71,558,865,0.446,5.069,0.141,0.142,0.718,20.583
"flag3_tri","Tri",5,14,"C5","weeded","pre_closure",2421.6,745,1703.33,0.692,1.168,0.297,0.324,0.379,31.285
"flag2_mai","Mai",5,3,"C2","weeded","pre_closure",2784.61,770,1511.67,0.723,0.865,0.457,0.291,0.252,25.132
"flag2_mai","Mai",5,3,"C2","weeded","post_closure",3456.55,1170,1918,0.662,1.497,0.445,0.222,0.333,38.464
"flag3_ari","Ari",5,2,"C1","weeded","post_closure",3211.74,911,1847.33,0.716,0.932,0.425,0.298,0.278,23.076
"flag4_ari","Ari",5,2,"C1","weeded","post_closure",3300.61,980,1797.33,0.703,1.061,0.455,0.264,0.28,32.024
"flag5_ari","Ari",5,2,"C1","weeded","post_closure",3521.77,975,1926.67,0.723,0.868,0.453,0.293,0.254,40.295
"flag6_ari","Ari",5,2,"C1","weeded","post_closure",3385.66,916,1920,0.729,0.81,0.433,0.313,0.254,29.445
"untagged_p3_sub17_q1","Tri",3,17,"C8","invaded","post_closure",2973.59,1367,1212.33,0.54,3.152,0.592,0.098,0.31,35.796
"untagged_p3_sub22_q4","Tri",3,22,"C7","invaded","post_closure",3639.78,1078,2034.67,0.704,1.054,0.441,0.272,0.287,43.634
"untagged_p3_sub12_q4","Tri",3,12,"C4","invaded","post_closure",4412.01,1518,2620.33,0.656,1.56,0.406,0.232,0.362,42.619
