plot,subplot,composite,gm.trt,canopy,days_deployed,phosphate_ppm,nitrate_ppm
5,33,C10,weeded,pre_closure,42,117.2,2323.7
5,36,C12,invaded,post_closure,28,94.7,191.5
5,36,C12,invaded,pre_closure,42,149.2,2718.5
7,1,C1,weeded,post_closure,29,92.2,740.9
7,4,C3,invaded,post_closure,29,70.4,938.3
7,7,C1,weeded,post_closure,29,92.2,740.9
7,8,C1,weeded,post_closure,29,92.2,740.9
7,8,C1,weeded,pre_closure,37,139.4,1748.1
7,10,C3,invaded,post_closure,29,70.4,938.3
7,11,C4,invaded,post_closure,29,8.6,654.25
7,11,C4,invaded,pre_closure,37,77.6,1939.1
7,12,C4,invaded,post_closure,29,8.6,654.25
7,12,C4,invaded,pre_closure,37,77.6,1939.1
7,14,C5,weeded,post_closure,29,89.4,699.3
7,14,C5,weeded,pre_closure,37,91.1,1930.7
7,15,C6,weeded,post_closure,29,83.9,1441.6
7,16,C7,invaded,post_closure,29,16.2,120.4
7,18,C8,invaded,post_closure,29,60.9,NA
7,18,C8,invaded,pre_closure,37,82.6,2680.7
7,19,C5,weeded,post_closure,29,89.4,699.3
7,19,C5,weeded,pre_closure,37,91.1,1930.7
7,20,C5,weeded,post_closure,29,89.4,699.3
7,20,C5,weeded,pre_closure,37,91.1,1930.7
7,21,C6,weeded,post_closure,29,83.9,1441.6
7,21,C6,weeded,pre_closure,37,56.4,2350.5
7,23,C8,invaded,post_closure,29,60.9,NA
7,23,C8,invaded,pre_closure,37,82.6,2680.7
7,24,C8,invaded,post_closure,29,60.9,NA
7,24,C8,invaded,pre_closure,37,82.6,2680.7
7,25,C9,weeded,post_closure,29,73,739.7
7,25,C9,weeded,pre_closure,37,28.5,2127.5
7,28,C11,invaded,post_closure,29,33.2,1127.6
7,28,C11,invaded,pre_closure,37,45.3,1459.5
7,30,C12,invaded,post_closure,29,84.4,974.1
7,30,C12,invaded,pre_closure,37,111.7,2877.5
7,31,C9,weeded,post_closure,29,73,739.7
7,31,C9,weeded,pre_closure,37,28.5,2127.5
7,32,C9,weeded,post_closure,29,73,739.7
7,32,C9,weeded,pre_closure,37,28.5,2127.5
7,33,C10,weeded,post_closure,29,32.8,140.6
7,33,C10,weeded,pre_closure,37,63.2,307.6
7,34,C11,invaded,post_closure,29,33.2,1127.6
7,34,C11,invaded,pre_closure,37,45.3,1459.5
7,35,C12,invaded,post_closure,29,84.4,974.1
7,35,C12,invaded,pre_closure,37,111.7,2877.5
7,36,C12,invaded,post_closure,29,84.4,974.1
7,36,C12,invaded,pre_closure,37,111.7,2877.5
